流水,華語,台語,台羅,備存對照
1,X光,電光,tiān-kong,10336
2,一,一,tsi̍t,1
3,一,一,it,2
4,一刀兩斷,一刀兩斷,it-to-lióng-tuān,3
5,一下,一下,tsi̍t-ē,4
6,一下子,一睏仔,tsi̍t-khùn-á,33
7,一下子,一霎仔久,tsi̍t-tiap-á-kú,39
8,一下子,一觸久仔,tsi̍t-tak-kú-á,43
9,一口氣,一睏仔,tsi̍t-khùn-á,33
10,一大堆,一大堆,tsi̍t-tuā-tui,53915
11,一切,一切,it-tshè,50080
12,一天,一日,tsi̍t-ji̍t/tsi̍t-li̍t,51021
13,一天到晚,一日到暗,tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm,7
14,一心,同心,tông-sim,2147
15,一心,規心,kui-sim,7877
16,一心一意,一心一意,it-sim-it-ì,53916
17,一片,一片,it-phiàn,50760
18,一世,一世人,tsi̍t-sì-lâng,9
19,一半,一半,tsi̍t-puànn,10
20,一旦,一旦,it-tàn,14
21,一生,一世人,tsi̍t-sì-lâng,9
22,一生,一生,it-sing,15
23,一生,規世人,kui-sì-lâng,7880
24,一生,透世人,thàu-sì-lâng,7944
25,一甲子,一甲子,tsi̍t kah-tsí,17
26,一共,總共,tsóng-kiōng,12292
27,一共,總計,tsóng-kè,12296
28,一再,一再,it-tsài,50651
29,一向,一向,it-hiòng,50332
30,一年到頭,規年迵天,kui-nî-thàng-thinn,7883
31,一百二十,百二,pah-jī/pah-lī,2622
32,一百零一,一百空一,tsi̍t-pah khòng-it,18
33,一些,一寡,--tsi̍t-kuá,36
34,一些,一寡仔,tsi̍t-kuá-á,37
35,一些,寡,kuá,10471
36,一來,一來,it--lâi,19
37,一兩天,一半日仔,tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á,12
38,一兩個,一半个仔,tsi̍t-puànn-ê-á,11
39,一坨屎,一垺屎,tsi̍t-pû-sái,25
40,一夜情,一夜情,tsi̍t-iā-tsîng,53917
41,一定,一定,it-tīng,20
42,一定,包穩,pau-ún,1636
43,一定,必然,pit-jiân/pit-liân,1788
44,一定,定著,tiānn-tio̍h,3868
45,一定,絕對,tsua̍t-tuì,8910
46,一定,萬萬,bān-bān,9985
47,一定,穩,ún,12840
48,一定,穩當,ún-tàng,12861
49,一直,一直,it-ti̍t,21
50,一直,直直,ti̍t-ti̍t,4405
51,一直,直透,ti̍t-thàu,4409
52,一直都是,總是,tsóng--sī,12294
53,一知半解,半桶屎,puànn-tháng-sái,1543
54,一律,一律,it-lu̍t,22
55,一律,一概,it-khài,34
56,一段時間,半晡,puànn-poo,1542
57,一流,一粒一,it-lia̍p-it,31
58,一流,一流,it-liû,51602
59,一致,一致,it-tì,23
60,一面,一面,tsi̍t-bīn,24
61,一個人,單跤手,tuann-kha-tshiú,8301
62,一個月,一月日,tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t,6
63,一個月,成月日,tsiânn gue̍h-ji̍t/tsiânn ge̍h-li̍t,2473
64,一家子,一家伙仔,tsi̍t-ke-hué-á/tsi̍t-ke-hé-á,27
65,一時,一時,tsi̍t-sî,50866
66,一時之間,時間,sî-kan,6071
67,一時疏忽,失覺察,sit-kak-tshat,1839
68,一時間,雄雄,hiông-hiông,9299
69,一眨眼,一目𥍉仔,tsi̍t-ba̍k-nih-á,16
70,一般,一般,it-puann,28
71,一起,同齊,tâng-tsê,2254
72,一起,相佮,sann-kap,5260
73,一起,鬥陣,tàu-tīn,6879
74,一起,做伙,tsò-hué/tsuè-hé,6971
75,一起,做陣,tsò-tīn/tsuè-tīn,6994
76,一起去,來去,lâi-khì,3552
